BindingDB_MonomerID,Affinities
50176415,8.5713
50176416,8.7615
50176417,7.699
50176418,9
50176419,7.6778
50176420,8.6383
50176421,6.9543
50176422,7.1135
50176423,8.284
50176424,8.6383
50176425,7.4529
50176426,7.2596
50176427,7.585
50176428,7.0177
50176429,7.4949
50176430,7.6198
50176431,8.4318
50176432,6.9208
50176433,7.3372
50176434,7.6198
50176435,8.1249
50176436,7.699
50176437,7.8239
50176946,6.7447
50176947,5.9469
50176948,5.8861
50176950,5.3716
50176951,8.284
50176954,6.6778
50176957,4.9031
50176959,5.5229
50176961,5.4815
50176965,5.301
50176967,5.5229
50176968,5.2596
50176970,6.0969
50176983,7.8239
50176988,8.8366
50177155,6.301
50177156,5.5607
50177157,5.7212
50177158,5.7447
50177159,5.9586
50177160,6.1249
50177161,5.5376
50177162,6.1871
50177163,5.9031
50177164,5.8239
50177165,5.1518
50177166,5.4622
50177167,5.5376
50179978,7.9278
50179980,7.5536
50179982,7.0212
50179983,7.2375
50179985,8.0819
50179986,6.9227
50180021,5.9378
50180022,6.9699
50180026,5.7156
50180027,5.389
50180028,5.9809
50180036,7.4002
50180040,7.3763
50181455,5.4799
50181456,5.6649
50181457,5.1529
50181458,6.0434
50181459,5.7265
50181460,6.6144
50181461,5.8395
50181462,6.1599
50181463,6.4522
50181465,5.1765
50181466,5.6988
50181467,5.2
50181468,5.19
50181469,5.6757
50181470,5.3038
50181471,5.2009
50181472,5.395
50185034,6.3279
50185035,5.4089
50185037,5.4559
50186533,6.2441
50187665,4.4473
50195526,6
50195530,7.2656
50195531,6.6372
50195532,7.5783
50198505,8.1675
50198506,6.0362
50198507,8.6576
50198509,7.3979
50198510,7.699
50198511,8.1024
50198512,7.1739
50198513,8.1249
50198514,7.6383
50198515,7.9208
50198516,8.1249
50198517,8
50198518,6.4089
50198519,8.4559
50198521,8.0315
50198523,7.1308
50198524,7.7696
50198525,8.2218
50198526,8.3872
50198527,7.6576
50198528,7.699
50198529,8.2596
50198530,6.6198
50198531,7.7212
50198532,8.5528
50198533,6.3468
50198535,8.0088
50198536,6.699
50198537,7.7959
50198538,7.4318
50200169,6.4401
50200170,6.0798
50200828,8.5229
50200830,8.8225
50200831,8.7447
50200833,9.2843
50200835,8.6021
50200836,8.8828
50200837,7.3188
50200838,8.6958
50200839,8.7959
50200841,9.4278
50200842,7.699
50200844,8.914
50202419,8.8239
50202511,6.2857
50202514,5.8623
50202515,6.5513
50202516,5.2272
50202519,5.9965
50202521,5.9219
50202523,6.2967
50202529,5.5814
50202539,6.1986
50202540,5.4275
50202541,5.3399
50202543,6.4989
50204169,7.9208
50204170,7.9586
50204171,7.9208
50204172,7.9586
50204173,8.2291
50204174,8.4318
50204175,8
50204176,8.2441
50204177,7.4089
50204178,8.4559
50204179,8.4089
50204180,8.4202
50204181,7.7212
50204182,7.0969
50204183,9.041
